cid,mw,heavy_atoms,n_carbon,n_oxygen,n_nitrogen,n_sulfur,n_halogen,heteroatoms,logp,molar_refractivity,tpsa,labute_asa,h_donors,h_acceptors,rot_bonds,rings,aromatic_rings,aliphatic_rings,saturated_rings,fraction_csp3,valence_electrons,bertz_complexity,tag_acid,tag_aromatic,tag_chlorine,tag_citrus,tag_fatty,tag_floral,tag_fruity,tag_green,tag_mint,tag_musty,tag_pungent,tag_rose,tag_spicy,tag_sweet,tag_woody,n_tags,primary_tag_id
8858,98.145,7,6,1,0,0,0,1,1.5416,30.112,17.07,44.036,0,1,1,0,0,0,0,0.5,40,96.748,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8
8868,130.143,9,6,3,0,0,0,3,0.5286,31.931,43.37,54.001,0,3,3,0,0,0,0,0.6667,52,117.471,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,4
8881,112.987,5,3,0,0,0,2,2,1.8541,26.057,0.0,42.076,0,0,2,0,0,0,0,1.0,32,12.365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
8894,86.134,6,5,1,0,0,0,1,1.1869,24.67,9.23,38.307,0,1,0,1,0,1,1,1.0,36,19.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
8908,144.214,10,8,2,0,0,0,2,2.1298,40.775,26.3,62.569,0,2,5,0,0,0,0,0.875,60,89.258,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,12
8914,144.258,10,9,1,0,0,0,1,2.7293,45.0788,20.23,64.453,1,1,7,0,0,0,0,1.0,62,44.69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,11
9005,106.121,7,4,3,0,0,0,3,0.2092,24.815,27.69,43.175,0,3,3,0,0,0,0,1.0,44,28.406,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
9016,138.166,10,8,2,0,0,0,2,1.7038,39.546,18.46,60.388,0,2,2,1,1,0,0,0.25,54,167.917,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
9033,43.069,3,2,0,1,0,0,1,-0.4104,12.8697,21.94,19.648,1,1,0,1,0,1,1,1.0,18,7.51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
9223,118.135,9,8,1,0,0,0,1,2.4328,36.214,13.14,52.907,0,1,0,2,2,0,0,0.0,44,278.545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
9253,70.135,5,5,0,0,0,0,0,1.9505,23.085,0.0,33.193,0,0,0,1,0,1,1,1.0,30,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
9481,215.001,12,7,0,0,0,5,5,4.0122,41.464,0.0,76.899,0,0,0,1,1,0,0,0.1429,66,293.193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
9550,42.041,3,1,0,2,0,0,2,-0.0832,10.7404,36.4,18.322,0,0,0,0,0,0,0,0.0,16,23.774,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
9862,126.199,9,8,1,0,0,0,1,2.3218,39.346,17.07,56.766,0,1,3,0,0,0,0,0.625,52,118.529,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,2
9999,52.036,4,2,0,2,0,0,2,0.0336,11.226,47.58,23.889,0,2,0,0,0,0,0,0.0,18,59.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,15
10026,117.148,8,5,2,1,0,0,3,1.8746,31.272,38.66,48.961,0,3,5,0,0,0,0,1.0,48,56.39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12
10110,70.047,5,3,2,0,0,0,2,-0.2958,16.4688,37.3,29.424,1,1,0,0,0,0,0,0.0,26,77.384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
10234,322.317,23,15,6,2,0,0,8,3.8881,83.5228,112.58,132.607,0,6,6,1,1,0,0,0.4,124,676.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
10297,151.209,11,9,1,1,0,0,2,1.0672,45.0512,46.25,66.66,2,2,2,1,1,0,0,0.3333,60,208.063,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
10364,150.221,11,10,1,0,0,0,1,2.824,46.9328,20.23,67.685,1,1,1,1,1,0,0,0.4,60,251.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10423,58.08,4,3,1,0,0,0,1,0.4067,15.436,9.23,25.577,0,1,0,1,0,1,1,1.0,24,11.245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
10426,197.832,8,2,2,0,0,4,6,2.6895,32.624,26.3,65.592,0,2,0,0,0,0,0,0.5,48,94.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10461,159.081,7,4,0,0,1,2,3,2.1972,38.765,0.0,58.564,0,1,4,0,0,0,0,1.0,44,28.871,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,14
